Название призмы,Сущности GOP,Комментарий,Соответствие,Отсутсивие,,,,
1. Призма эмоций,—,"GOP не моделирует эмоции игрока, это уровень опыта.",0,Игрок,,Нет соотвествия: ,,51
2. Призма существенного опыта,—,"Опыт игрока как категория не отражён в GOP, там описываются структурные элементы игры.",0,Игрок,,Частничное соотвествие:,,25
3. Призма места действия,Interface,Место действия в том числе определяет интерфейс игры. Однако совпадение не полное. ,1,"Игрок, Платформа",,Полное соотвествие:,,37
4. Призма сюрприза,Randomness; Incomplete Information,Сюрприз обеспечивается случайностью и скрытой информацией. Однако призма в том числе говорит и о сюрпризах в эстетике и истории игры.,1,"Игрок, Эстетика, История",,Недостающие сущность в GOP,,
5. Призма фана,—,"«Фан» — эвристическая категория; в GOP нет сущностей, напрямую описывающих удовольствие игрока.",0,Игрок,,Игрок:,30,
6. Призма любопытства,Game Goals; Optional Goals;,Любопытство игрока стимулируется через скрытые или дополнительные цели.,1,Игрок,,Дизайнер:,20,
7. Призма эндогенной ценности,Game Goals; To Manage Resources; Score; Economies of scale; Economies of scope; To Own,"Внутренняя ценность формируется через систему ресурсов, очков и экономических эффектов, которые подробно выделены в GOP. При этом сами ресурсы выделены через возможность владеть (To Own)",2,,,Разработка:,12,
8. Призма решения проблемы,Puzzle; Goals,Решение задач — это головоломки и целеполагание; обе категории явно присутствуют в GOP.,2,,,Персонажи:,11,
9. Призма элементной тетрады,Rules; Narrative Segmentation; Interface,"«Механики–история–эстетика–технология» Шелла пересекаются с разными ветвями GOP: правила, нарративные сегменты, интерфейс. Это частичное соответствие.",1,"Платформа, История, Эстетика, Дизайнер",,История:,9,
10. Призма голографического дизайна,—,"«Голографический дизайн» — метафора целостности восприятия игры; GOP фиксирует отдельные сущности, но не оперирует концептом целостности. ",0,Дизайнер,,Эстетика:,6,
11. Призма единства,—,"В GOP нет категории, описывающей «тематическое единство» игры. Онтология фиксирует структурные элементы, а не гармонию их совокупности.",0,Тема,,"Игровые 
объекты:",3,
12. Призма резонанса,—,"Резонанс — это эмоционально-эстетическая категория (отклик, долговременное впечатление). В GOP отсутствует.",0,"Дизайнер, Игрок",,Бизнес:,3,
13. Призма бесконечного вдохновения,—,"Эта линза обращена к источникам идей вне игры; GOP описывает только то, что внутри игровой системы.",0,Дизайнер,,Платформа:,3,
14. Призма постановки проблемы,—,"Это линза связана с ""дизайн-проблемой"" которую решает дизайнер, но при этом дизайнер и процесс дизайна не являются частью GOP. ",0,"Тема, Дизайнер",,Коммуникация:,3,
15. Призма восьми фильтров,—,"Линза про проверку качества дизайна (рыночные, технические, социальные фильтры). GOP не содержит подобных категорий.",0,Разработка,,Тема:,2,
16. Призма оптимизации рисков,—,"GOP описывает правила и состояния, но не имеет понятия «риск» как фактора разработки или восприятия.",0,Разработка,,,,
17. Призма игрушки,No Game End,"Игровая «игрушечность» связана с отсутствием фиксированного конца игры и возможность с ней просто ""играться""",2,,,,,
18. Призма страсти,—,"Призма про отношение дизайнера к игре. В GOP нет аналогов, так как онтология фокусируется на игре, а не на разработчике.",0,Дизайнер,,,,
19. Призма игрока,— ,Игрок не представлен как часть GOP,0,Игрок,,,,
20. Призма удовольствия,—,Удовольствие — категория опыта игрока. В GOP отсутствует как сущность.,0,Игрок,,,,
21. Призма потока,Goals; Challenge Segmentation; Difficulty Levels; Dynamic Difficulty Adjustment,"Поток достигается балансом целей, челленджей и уровня сложности. В GOP это фиксируется через цели и правила сложности.",1,Игрок,,,,
22. Призма потребностей,—,Линза отсылает к иерархии Маслоу и базовым человеческим нуждам. В GOP нет концепта человеческих потребностей.,0,Игрок,,,,
23. Призма мотивации,—,"Мотивации игрока — психологический уровень, отсутствующий в GOP. Онтология фиксирует только механические цели и ресурсы.",0,Игрок,,,,
24. Призма инноваций,—,Новизна как креативная категория не формализована в GOP.,0,Игрок,,,,
25. Призма оценки,Score; Evaluation of Ending; Goal Metrics,"GOP имеет сущности, связанные с оценкой (очки, результаты, оценка окончания игры). Это совпадает с линзой оценки.",2,,,,,
26. Призма функционального пространства,Cardinality of Gameplay; Spatial Segmentation,"В GOP пространство описывается формально: измерения, сегментация, топология. Это прямо соответствует линзе пространства.",2,,,,,
27. Призма времени,Time; Time Indicator; Game Ends; Segmentation of Gameplay,"Временные структуры отражены в GOP через индикаторы времени, временные окончания игр и сегментацию.",2,,,,,
28. Призма механизма состояний,Rules; Entity Manipulation,"GOP не фиксирует игровые объкты, их состояния и переменные. Это частичное соотвествие .",1,Игровые объекты,,,,
29. Призма секретов,Incomplete Information; Complete Information,"Секреты в игре есть не что иное, как неполная или скрытая информация. Это отражено в GOP.",2,,,,,
30. Призма возникновения,Rules; Rules Synergies; Entity Manipulation,Эмерджентность отражается в GOP как синергия правил и возможность игрока манипулировать сущносятми. ,2,,,,,
31. Призма действий,Entity Manipulation; Compound Action; ,GOP напрямую описывает доступные действия игрока и способы манипуляции. Прямая связь.,2,,,,,
32. Призма целей,Goals; Optional Goals; Game Ends,Цели в GOP — центральная сущность: они определяют завершение игры и промежуточные задачи. Полное соответствие.,2,,,,,
33. Призма правил,Rules; Gameplay Rules; Player Manipulable Rules,Линза и GOP совпадают по базовой категории «правила».,2,,,,,
34. Призма навыков,Difficulty Levels; Entity Manipulation;,"GOP уровни сложности, а сам навык частично выражается в манипуляции сущностей. Но психологического уровня игрока (обучение, развитие) — нет.",1,Игрок,,,,
35. Призма ожидаемого значения,Randomness; Dominant Strategy; Incomplete Information,GOP фиксирует случайность и вероятностные исходы; ожидаемое значение можно вывести из этих узлов.,2,,,,,
36. Призма шанса,Randomness; Incomplete Information,"В GOP «шанс» закреплён как случайность/вероятностные исходы и скрытая информация. При этом опыт игрока, которого касается линза — не включен.",1,Игрок,,,,
37. Призма справедливости,Difficulty Levels; Dominant Strategy; Multiplayer; Goal Metrics; Dynamic Difficulty Adjustment,"В GOP справедливость выражается через доминирующие стратегии, метрики целей. Динамическая адлаптация сложности, чтобы разные игроки могли играть вместе. И косвенная связь с мультиплеером.",2,,,,,
38. Призма сложности,Challenge Segmentation; Difficulty Levels; Dynamic Difficulty Adjustment; Multiplayer,"Категория сложности представлена явно: через задачи, их сегментацию и уровни.",2,,,,,
39. Призма осмысленного выбора,Dominant Strategy; To Select;  ,В GOP прямо представлен выбор игрока и доминатная стратегия. Соответствие прямое.,2,,,,,
40. Призма треугольности,To Manage Resources; To Own;,В GOP нет явного понятия для описания этой линзы но структура «риск–награда» проявляется через управление ресурсами и владение.,1,Награда,,,,
41. Призма навыка против шанса,Randomness; Incomplete Information; ,GOP фиксирует ось: «случайность». А вот навык игрока в GOP не зафиксирован. ,1,Игрок,,,,
42. Призма головы и рук,Puzzle; Entity Manipulation,"GOP представляет действия игрока через Entity Manipulation, логика через Puzzle",2,,,,,
43. Призма конкуренции,Multiplayer; Dominant Strategy,Конкуренция в GOP связана с мультиплеером.,2,,,,,
44. Призма сотрудничества,Multiplayer,"Кооперация отражена в GOP через мультиплеер. Но призма делает сильный упор на коммуникацию между игроками, которая не представлена.",1,Коммуникация,,,,
45. Призма конкуренции и сотрудничества,Multiplayer,GOP описывет конукуренцию и сотрудничество через мультиплеер.,2,,,,,
46. Призма награды,Score; Bonus Stage; To Own; To Manage Resources,"В GOP награды не отражены явно, но соотносятся через очки, бонусные стадии и различные операции над ресурсами.",2,,,,,
47. Призма наказания,Lives; Resource Exhaustion;,Наказание трактуется как потеря ресурсов/жизней или проигрыш. Это явно присутствует в GOP.,2,,,,,
48. Призма простоты/сложности,Rules; Rules Synergies; Entity Manipulation,GOP фиксирует простые и сложные правила и сильно связаны с призмой 30.,2,,,,,
49. Призма элегантности,—,Элегантность — эвристическая категория (многозадачность элементов). В GOP её нет.,0,Дизайнер,,,,
50. Призма характера,—,Характер игры и даже ее эстетика не представлены в GOP,0,"Дизайнер, Эстетика",,,,
51. Призма воображения,—,"Воображение игроков и баланс реализма/фантазии не формализованы в GOP. Онтология описывает игровые объекты и интерфейс, но не «силу воображения».",0,Игрок,,,,
52. Призма экономики,To Manage Resources; Economies of Scale; Economies of Scope; Resource Exhaustion; To Own,"В GOP экономика чётко формализована через ресурсы, их управление, масштабы и исчерпание.",2,,,,,
53. Призма баланса,—,"Эта призма про автора и авторский замысел, которые не представлены в GOP",0,Дизайнер,,,,
54. Призма доступности,Puzzle; Challenge Segmentation,"GOP значительно описывает эту призму через паззлы, но совершенно не затрагивает опыт игрока",1,Игрок,,,,
55. Призма видимого прогресса,Score; Points Indicator; Lives Indicator; Segmentation of Gameplay; Complete Information; Incomplete Information,"В GOP есть метрики прогресса: очки, жизни, сегментация геймплея. Это прямое соответствие.",2,,,,,
56. Призма параллелизма,Puzzle; Challenge Segmentation;,GOP волне точно описывает паззлы и разделение вызовов,2,,,,,
57. Призма пирамиды,Puzzle; Challenge Segmentation; Game Ends; Goals ,"В GOP явно представлены паззлы, сегментация челенджей, цели и завершение игры (финальный вызов).",2,,,,,
58. Призма головоломок,Puzzle,Полное совпадение: в GOP пазл — отдельный вид челленджа.,2,,,,,
59. Призма контроля,"Interface, Entity Manipulation; Locus of Manipulation; Direct Manipulation, Indirect Manipulation",Линза контроля отражает способы манипуляции в GOP.,2,,,,,
60. Призма физического интерфейса,Input Devices; Presentation Hardware; Haptic Display; Visual Output,Прямая связь: линза про физический ввод это раздел GOP про устройства ввода.,2,,,,,
61. Призма виртуального интерфейса,"Menu Interface, Point and Click Interface, Entity Programming Interface, Head Up Display","Виртуальные интерфейсы GOP описываются через меню, манипуляцию и HUD.",2,,,,,
62. Призма прозрачности,Head Up Display; Interface;,В GOP нет UX-качества «прозрачности». Косвенно её обеспечивают HUD и Interface,1,,,,,
63. Призма фидбэка,Feedback; Confirmation; Warning; Sensory Output; Goals,Прямая связь: линза об обратной связи это ветка Feedback и каналы вывода.,2,,,,,
64. Призма сочности,Head Up Display,"Несмотря на то, что в призма явно касается сущностей Feedback и Sensory Output, призма будет релевантна игре только в том случае, если в ней присутсвует сущность Head Up Display.  ",2,,,,,
65. Призма примитивности,"Direct Manipulation, Input Devices; Interface;",Интуитивность/«телесность» управления отражает Direct Manipulation и физические устройства ввода.,2,,,,,
66. Призма канала и его оформления,"Sensory Output, Presentation Hardware, Head Up Display",Каналы подачи информации и их оформление соответствуют сенсорному выводу и HUD.,2,,,,,
67. Призма режимов,"Customization via Game Menu, Difficulty Levels, Menu Interface",Режимы описываются кастомизацией через главное меню.,2,,,,,
68. Призма моментов,Challenge Segmentation; Narrative Segmentation; Evaluation of Ending,"Запоминающиеся пики связаны с челенжами, нарративными сегментами и концовками. Однако опыт игрока не отражен в GOP.",1,Игрок,,,,
69. Призма кривой интереса,"Temporal Segmentation, Challenge Segmentation, Game Ends",Кривая интереса — метапонятие; GOP даёт механизмы темпоритма и «вершин».,1,Игрок,,,,
70. Призма изначального интереса,—,В GOP нет такой онтологической категории; это дизайнерский критерий привлекательности темы/фич.,0,Игрок,,,,
71. Призма красоты,Sensory Output; Visual Output; Aural Output,"Эстетика не онтологизируется в GOP, максимально близко — визуальные и аудиовыводы.",1,Эстетика,,,,
72. Призма проекции,—,"В GOP нет сущностей, связанных с субъективным опытом игрока, его воображением и проекцией себя в игровой мир. GOP оперирует структурными элементами (правила, интерфейсы, сегментация и пр.), но не описывает психическую вовлеченность",0,"История,
Игрок",,,,
73. Призма генератора историй,—,История не представлена в GOP .,0,"История, Персонажи",,,,
74. Призма препятствий,"Goals, Challenge Segmentation","Препятствия формализуются как вызовы, а также структурируются сегментациями челленджей. Кроме того, препятсвия связаны с игровыми целями. Но нету сущностей связанных с игроком или историей в игре.",1,"История, Персонажи",,,,
75. Призма простоты и трансцендентности,—,Концептуальная линза (упрощение мира + «сверхсилы» игрока). В GOP нет прямых сущностей,0,"Игрок, История",,,,
76. Призма героического путешествия,Narrative Segmentation,Геройское путешествие отображается через нарративные сегменты. Но не раскрывается целиком в полноценной сущности.,1,История,,,,
77. Призма самой странной вещи,—,В GOP нет категории «странности» или уникальности объектов.,0,"Игрок, Игровые объекты",,,,
78. Призма истории,—,История не представлена в GOP .,0,История,,,,
79. Призма свободы,"Cardinality of Gameplay, Entity Manipulation; Rules","Свобода через пространство, правила и возможности манипуляций с сущностями.",2,,,,,
80. Призма помощи,Game Goals; Agent Goals;,Помощь можно выразить в GOP через свои цели и цели агентов (кому мы помогаем).,1,Персонажи,,,,
81. Призма непрямого контроля,—,Непрямое управление игрока дизайнером никак не представлено в GOP.,0,"Дизайнер, Игрок",,,,
82. Призма сговора,Agent Goals,"Линза немного касается целей персонажей, но не покрывается GOP в полной мере.",1,"Игрок, Персонажи, Дизайнер",,,,
83. Призма фантазии,—,GOP не описывает воображение и фантазию игрока.,0,"Игрок, Персонажи, Дизайнер",,,,
84. Призма мира,—,"Мир как целостная структура частично описан через способы его исчерпания, но это мало касается смысла линзы, которая во многом связана с нарративным аспектом мира, его легендой, устройством и целостностью которые не представлены ",0,История,,,,
85. Призма аватара,"Single Entity Manipulation, Character Customization",Аватар как посредник игрока явно отражён в GOP.,2,,,,,
86. Призма функций персонажа,—,Персонажи не описываются в GOP.,0,Персонажи,,,,
87. Призма черт персонажа,—,"В GOP «характерные черты» (слова, поведение) напрямую не формализованы. ",0,Персонажи,,,,
88. Призма межличностных отношений,—,"В GOP нет модели межличностных отношений персонажей (дружба, вражда, доминирование). Эта линза выходит за пределы структуры GOP.",0,Персонажи,,,,
89. Призма паутины взаимоотношений персонажа,—,GOP не моделирует социальные связи персонажей. Соответствие отсутствует.,0,Персонажи,,,,
90. Призма статуса,—,"GOP не описывает социальный статус. Косвенно это может быть выражено через Rules / Gameplay Rules, однако явной сущности нет.",0,"Игровые объекты, Персонажи",,,,
91. Призма трансформации персонажа,"Narrative Segmentation, Narrative Exhaustion",Изменения персонажей можно отчасти соотнести с нарративной сегментацией и нарративным истощением. Но детализированной модели трансформации в GOP нет.,1,Персонажи,,,,
92. Призма внутренних противоречий,—,"В GOP нет категории «внутренние противоречия» как дизайнерского принципа. Можно косвенно связать с Rules Synergies, но прямого отражения нет.",0,"Дизайнер, Разработка",,,,
93. Призма безымянного свойства,—,"В GOP отсутствуют категории, описывающие органичность, «живость» или эстетическое качество дизайна. Линза 93 основана на «pattern language» Кристофера Александера и относится к эстетическим/философским качествам. GOP, как структурная онтология игровых элементов (правила, интерфейсы, сегментации), не имеет инструментов для фиксации этих свойств.",0,"Дизайнер, Разработка",,,,
94. Призма атмосферы,"Sensory Output, Visual Output, Aural Output, Presentation Hardware","Атмосфера формируется через сенсорные каналы и оборудование вывода, но это эстетический конструкт, не полностью онтологизированный.",1,Эстетика,,,,
95. Призма зрелища,—,"В GOP нет сущностей, связанных с «зрелищностью» как внешним восприятием игры. Онтология описывает игру как систему для игрока, а не как шоу для наблюдателей. Линза относится к социально-культурному уровню.",0,"Игрок, Эстетика",,,,
96. Призма дружбы,Multiplayer,"Дружба как социальное последствие в GOP не формализована, но сама возможность совместной игры и кооперации задаёт основу для её возникновения. Соответствие частичное.",1,Коммуникация,,,,
97. Призма самовыражения,Character Customization,"В GOP есть механизмы, позволяющие игроку проявлять индивидуальность (кастомизация персонажа). Однако глубина личностного самовыражения выходит за рамки GOP.",1,Игрок,,,,
98. Призма сообщества,Multiplayer,Сообщество игроков описано через мультиплеерные взаимодействия. Но коммуникация не представлена в GOP,1,Коммуникация,,,,
99. Призма гриферства,"Multiplayer, Dominant Strategy",Гриферство касается мультиплеер GOP и отражается через доминатные стратегии.,2,,,,,
100. Призма любви,—,Разработчик и команда разработки не представлены в GOP.,0,Дизайнер,,,,
101. Призма команды,—,"GOP описывает элементы игр, но не организацию команд разработчиков. Нет соответствия.",0,Разработка,,,,
102. Призма документации,—,"Документация — процесс производства, не отражён в GOP.",0,"Дизайнер, Разработка",,,,
103. Призма плейтестов,—,"Плейтестирование — метод разработки, отсутствует в GOP.",0,Разработка,,,,
104. Призма технологии,—,Технологии и платформа не представлены в GOP.,0,"Платформа, Разработка",,,,
105. Призма хрустального шара,—,Прогнозирование будущего технологий/трендов в GOP не отражено.,0,Разработка,,,,
106. Призма утопии,—,"«Мир становится лучше» — ценностный критерий, отсутствует в GOP.",0,Дизайнер,,,,
107. Призма заказчика,—,GOP не учитывает взаимодействие с заказчиками/клиентами.,0,"Бизнес, Разработка",,,,
108. Призма презентации,—,"Презентация — элемент производства, не объект онтологии игр.",0,"Бизнес, Разработка",,,,
109. Призма прибыли,—,Экономика разработки/рынка не отражена в GOP (он описывает игровые механизмы).,0,"Бизнес, Разработка",,,,
110. Призма трансформации,—,"«Игры меняют игроков» — мета-эффект, не формализуется в GOP.",0,Игрок,,,,
111. Призма ответственности,—,Этические вопросы не охватываются GOP.,0,Дизайнер,,,,
112. Призма ворона,—,Фокусировка времени разработчика отсутствует в GOP.,0,Дизайнер,,,,
113. Призма вашей тайной цели,—,Личные мотивы дизайнера вне охвата GOP.,0,Дизайнер,,,,