Сущности GOP,Присуствие,Комментарий
Interface,Присутствует,С игрой можно взаимодействовать.
Input,Присутствует,Управление реализовано через стандартные устройства ввода (геймпад/клавиатура).
Input Devices,Присутствует,"Используются стандартные кнопки управления (клавиши/геймпад), но не все подкатегории."
Analog Pushbutton,Отсутствует,В игре нет кнопок с аналоговой чувствительностью к силе нажатия.
Digital Pushbutton,Присутствует,"Все действия (прыжок, хватание, движение) основаны на цифровых кнопках — либо нажато, либо нет."
Direction Pad,Присутствует,Возможен ввод через клавиши направления (или D-pad на геймпаде).
Fourway Joystick,Присутствует,Возможен ввод через джойстик на геймпаде.
Lightgun,Отсутствует,Поддержка контроллера с наведением на экран в игре отсутствует.
Rotary Paddle Control,Отсутствует,Поддержка контроллера вращения в игре отсутствует.
Thruster (two-way) Joystick,Отсутствует,Поддержка такого вида джойстика отсутсвует.
Touch-Sensitive Screen,Присутствует,Присутсвует в мобильной версии игры
Stylus Pen,Отсутствует,"Нет ввода через стилус, хотя в теории он возможен на мобильных платформах."
Microphone,Отсутствует,Голосовое управление не используется.
Input Method,Присутствует,В INSIDE определён способ ввода — через ограниченный набор кнопок/клавиш.
Locus of Manipulation,Присутствует,"Игрок управляет аватаром (мальчиком), и всё взаимодействие с миром идёт через него."
Multiple Entity Manipulation,Отсутствует,"В игре есть моменты, в которых мы можем управлять сразу несколькими сущносятми опосредованно через игрового аватара. В GOP к этой сущности относят скорее RTS стратегии, так что она скорее отсутсвует в INSIDE."
Single Entity Manipulation,Присутствует,Управление сосредоточено исключительно на одном персонаже.
Manipulation Method,Присутствует,В игре есть конкретный метод манипуляции через кнопки/стики.
Direct Manipulation,Присутствует,"Управление напрямую связано с действиями персонажа: нажал кнопку — персонаж прыгнул, толкнул объект."
Indirect Manipulation,Отсутствует,"Нет меню или системы команд, управление только прямое. Кроме момента с непрямым контролем манекенов, что опять-же неоднозначно можно отнести к непрямому контролю."
Entity Programming Interface,Отсутствует,Игрок не программирует поведение персонажей или объектов.
Menu Interface,Отсутствует,Игра практически лишена интерфейсов-меню (только старт/настройки вне геймплея).
Point and Click Interface,Отсутствует,Нет системы указателя или кликов мышью для взаимодействия.
Synchronized Button Press,Отсутствует,"Нет механик, где требуется нажатие кнопок в ритме или последовательности."
Presentation,Присутствует,Вся игра строится на аудиовизуальной презентации.
Presentation Hardware,Присутствует,Используется стандартное оборудование (монитор/динамики/геймпад).
Audio Display Hardware,Присутствует,Музыка и звуковые эффекты — важная часть атмосферы и геймплея.
Haptic Display,Присутствует,Специальная вибро- или тактильная отдача присутствует при игре с геймпадом.
Closed Cycle Haptics,Отсутствует,Нет поддержки устройств с тактильной коммуникацией (от игрока к игре).
Open Cycle Haptics,Присутствует,Специальная вибро- или тактильная отдача присутствует при игре с геймпадом.
Visual Display Hardware,Присутствует,"Основной канал восприятия — графика, подаваемая через монитор."
Video Monitor,Присутствует,"INSIDE играется через экран, который служит основным устройством вывода."
VR Goggles,Отсутствует,Игра не поддерживает VR-режимы.
Presentation Software,Присутствует,Код игры управляет выводом графики и звука
Feedback,Присутствует,"Игрок постоянно получает обратную связь (звук шагов, визуальные эффекты, реакции окружения)."
Confirmation,Присутствует,"Подтверждающая обратная связь: например, если мальчик хватает объект, это сопровождается анимацией и звуком."
Warning,Присутствует,"Есть сигналы опасности (свет прожекторов, лай собак, звуковые сирены)."
Point Of View,Присутствует,"Игра задаёт специфическую точку зрения: камера сбоку, фиксированная."
First-person Point of View,Отсутствует,Нет перспективы «из глаз персонажа».
Second-person Point of View,Отсутствует,Перспективы второго лица в игре нет.
Third-person Point of View,Присутствует,"Игрок видит мальчика со стороны, управляя им в боковой проекции."
Sensory Output,Присутствует,Используются каналы зрения и слуха для передачи игрового опыта.
Aural Output,Присутствует,"Звуковая составляющая минималистична, но критически важна: шум шагов, дыхание, сирены, лай собак. "
Tactile Output,Присутствует,Тактильная отдача присутствует при игре с геймпадом.
Visual Output,Присутствует,"Визуальный канал — ключевой в INSIDE, игра строится на образах и светотени."
Camera-based World View,Присутствует,"Игровой мир представлен как «кинематографическая камера», которая задаёт восприятие."
Camera Binding,Присутствует,"Камера «привязана» к фиксированным позициям и траекториям, расставлеными дизайнерами и задающим драматургию."
Located Camera,Присутствует,"Камера фиксирована в определённых местах, плавно следит за персонажем, но не управляется игроком."
Roaming Camera,Отсутствует,Игрок не может свободно перемещать камеру.
Targeted Camera,Присутствует,Камера следует за мальчиком
Camera Dimensions,Присутствует,Камера задаёт пространство восприятия через размеры и траектории.
Three Dimensional Camera Motion,Отсутствует,"Камера не движется в полном 3D, нет свободы вверх/вниз/вперёд/назад."
Three Dimensional Frame,Присутствует,"Визуальный мир INSIDE полностью трёхмерный, хоть игрок и управляет персонажем в 2D плоскости."
Two Dimensional Camera Motion,Присутствует,"Камера двигается только в двух направлениях (влево-вправо, иногда панорама)."
Two Dimensional Frame,Отсутствует,Игра трехмерная.
Head Up Display,Отсутствует,"В INSIDE полностью отсутствует HUD, что усиливает иммерсивность."
Buttonpress Indicator,Отсутствует,"Нет подсказок о том, какие кнопки нажимать. Игрок должен догадываться через контекст."
Control Bindings Display,Отсутствует,"В игре нет вывода схемы управления на экран, кроме как че"
Health Indicator,Отсутствует,У персонажа нет полоски здоровья. Любая ошибка ведёт к смерти.
Lives Indicator,Отсутствует,"Нет системы жизней, используется мгновенная смерть + чекпоинты."
Map Display,Отсутствует,Нет карты или миникарты.
Next Piece Indicator,Отсутствует,Нет визуального предсказания следующего события или элемента.
Player Configurable Buttons/Keys,Отсутствует,Внутри игры нет настройки горячих клавиш (только в системных настройках).
Points Indicator,Отсутствует,Нет системы очков.
Radar Display,Отсутствует,Нет радара или систем обнаружения врагов.
Special Weapon Indicator,Отсутствует,"В INSIDE нет оружия, соответственно нет индикаторов."
Time Indicator,Отсутствует,В игре нет таймера или отсчёта времени.
Vehicular Instrumentation,Отсутствует,Даже в сценах с подводным батискафом интерфейса приборов нет — игрок ориентируется визуально.
Rules,Присутствует,Игру определяют строгие правила
Rules Synergies,Присутствует,"Сочетание простых правил (например, толкнуть предмет + прыгнуть на него) создаёт сложные ситуации."
Complete Information,Отсутствует,Игрок не знает всех условий заранее — враги и ловушки часто скрыты.
Dominant Strategy,Отсутствует,Нет универсальной выигрышной стратегии: каждая сцена требует своего решения.
Dynamic Difficulty Adjustment,Отсутствует,"Сложность фиксирована, не подстраивается под игрока."
Economies of Scale,Отсутствует,Нет ресурсной системы.
Economies of Scope,Отсутствует,Нет ресурсной системы.
Incomplete Information,Отсутствует,"Несмотря на то, что игрок часто действует в условиях неизвестности (темнота, скрытые механизмы, непонятные цели), геймплейная информация предоставляемая игроку всегда полная"
Intransitive Relationships,Отсутствует,Нет «камень-ножницы-бумага»-структуры между действиями или врагами.
Transitive Relationships,Отсутствует,Нет строгой иерархии отношений «X > Y > Z» в механике.
Gameplay Rules,Присутствует,Игровой процесс основан на чётких правилах паззл-платформера.
Cardinality of Gameplay,Присутствует,Игровой процесс определяется степенями свободы перемещения.
0-Dimension Gameplay,Отсутствует,Игрок имеет 2 степени свободы
1-Dimensional Gameplay,Отсутствует,Игрок имеет 2 степени свободы
2-Dimensional Gameplay,Присутствует,"Игрок имеет 2 степени свободы. Движение влево/вправо, прыжок/падение"
3-Dimensional Gameplay,Отсутствует,Игрок не может перемещаться вперёд/назад в глубину.
Game Ends,Присутствует,У игры есть чёткое завершение.
Evaluation of Ending,Отсутствует,Игра никак не дает оценку прохождения игрока.
Gameworld Exhaustion,Присутствует,"Игрок исследует весь мир, после чего игра завершается"
Narrative Exhaustion,Присутствует,Завершение игры связано с исчерпанием истории
Resource Exhaustion,Отсутствует,Нет ресурсной системы.
Lives,Отсутствует,"У героя нет системы «жизней», смерть ведёт к мгновенной перезагрузке с контрольной точки."
Multiplayer,Отсутствует,Игра строго однопользовательская.
Cooperative Multiplayer,Отсутствует,Совместного прохождения нет.
No Game End,Отсутствует,У INSIDE есть чёткий финал.
Player Manipulable Rules,Отсутствует,Игрок не может изменять правила геймплея.
Difficulty Levels,Отсутствует,Нет выбора уровня сложности — игра линейная и одинаковая для всех.
Character customization,Отсутствует,Никакой кастомизации персонажа.
Randomness,Отсутствует,В игре нет случайности — всё строго детерминировано.
Segmentation of Gameplay,Присутствует,"Игра делится на сегменты/сцены, каждый из которых представляет вызов или эпизод."
Challenge Segmentation,Присутствует,"Каждый сегмент — отдельное испытание (головоломка, погоня, скрытность)."
Boss Challenge,Присутствует,"Есть мини-боссы — собаки, сирены, охотники, требующие особой стратегии."
Bonus Stage,Присутствует,Присутствуют скрытые бонусные сцены
Puzzle,Присутствует,Базовый тип вызовов в INSIDE — головоломки с физикой и логикой.
Wave,Отсутствует,Волны врагов отсутсвуют.
Spatial Segmentation,Присутствует,Игра разделена на пространственные зоны с уникальными задачами.
Level,Присутствует,"Можно выделять уровни как сцены или главы, хотя формально игра идёт непрерывно."
Spatial Checkpoint,Присутствует,"Присутствуют контрольные точки, где возобновляется игра после смерти."
Temporal Segmentation,Отсутствует,Нет сцен ограниченных по времени
Temporal Coordination,Присутствует,"Множество задач требует синхронизации с движением объектов (прожекторы, ритм ударных волн)."
Interleaved Games,Отсутствует,Нет параллельных или вложенных игр.
Taking Turns,Отсутствует,"Нет пошагового режима, игра полностью реального времени."
Passing,Отсутствует,Нет механики передачи хода или управления.
Rounds,Отсутствует,"Нет деления на раунды, игра континуальна."
Temporal Resource,Присутствует,"В некоторых задачах время выступает ресурсом (например, дыхание под водой ограничено). "
Narrative Segmentation,Присутствует,"История подаётся фрагментарно, через сцены и окружение, что делит игру на нарративные сегменты."
Gameworld Rules,Присутствует,Игровой мир следует чётким правилам физики объектов.
Checkpoint,Присутствует,Контрольные точки фиксируют прогресс и возрождают игрока после смерти.
Cropping,Отсутствует,"Мир ограничен рамкой камеры и геометрией уровней, однако сущности при уходе за экран не исчезают."
Expiration,Отсутствует,Все сущности в игре присутсвуют постоянно.
Pseudo-Physical Rules,Присутствует,"Физика имитирует гравитацию, инерцию, плотность и пр."
Gravity,Присутствует,Персонаж и объекты подчиняются гравитации.
Life Support,Присутствует,У мальчика есть скрытый параметр дыхания под водой
Solidity,Присутствует,"Объекты обладают «твёрдостью»: стены, платформы, ящики ограничивают движение."
Persistent Gameworld,Присутствует,"Объекты остаются в мире и сохраняют своё состояние (например, перемещённые ящики не исчезают)."
Savepoint,Присутствует,"Игра использует автоматические сейвпоинты (чекпоинты), откуда игрок возрождается."
Entity Manipulation,Присутствует,Игрок управляет аватаром и через него воздействует на мир.
Compound Action,Присутствует,"Действия комбинируются: например, толкнуть объект и затем прыгнуть на него."
To Manage Resources,Отсутствует,В игре нет ресурсной системы.
To Shoot,Отсутствует,"Игрок не стреляет, оружия нет."
To Transport,Присутствует,"Персонаж может переносить ящики, катать тележки, использовать батискаф."
To Collide,Присутствует,Столкновения с объектами и врагами составляют важную часть геймплея.
To Create,Отсутствует,Игрок не создаёт объекты
To Generate,Отсутствует,Нет механики генерации предметов.
To Move,Присутствует,"Базовое действие: ходьба, прыжки, плавание."
To Evade,Присутствует,"При помощи перемещения можно избегать врагов, собак, прожекторов, ударных волн. "
To Teleport,Отсутствует,"В игре нет телепортации, все перемещения физически линейны."
To Traverse,Отсутствует,В игре не используется траверс.
To Visit,Присутствует,Игроку необходимо посещать определенные точки
To Own,Отсутствует,"В игре нельзя ничем владеть, это обусловлено отсутствием ресурсной системы"
To Capture,Отсутствует,Нет механик захвата
To Exchange,Отсутствует,Нет механик обмена
To Transfer,Отсутствует,"В игре нет системы ресурсов и владения, поэтому эта сущность тоже отсутствует"
To Possess,Присутствует,В сценах с устройствами управления (шлемами) мальчик управляет другими телами
To Collect,Отсутствует,В игре нет коллекционных предметов.
To Release,Присутствует,В игре можно отпускать предметы которые мы держим.
To Remove,Отсутствует,В игре нельзя ничего удалить.
To Rotate,Отсутствует,"В игре нельзя вращать другие сущности (только при помощи правил физики), поэтому эта сущность отсутсвует в INSIDE."
To Select,Отсутствует,Нет выбора из списка или опций
To Target,Отсутствует,"Нет прицеливания или наведения, так как отсутствует оружие."
To Manipulate Time,Отсутствует,Игрок не может управлять временем.
To Start Time,Отсутствует,Нет механик запуска времени.
To Pause Time,Отсутствует,Игрок не может управлять временем.
To Pause Time with Gameworld Agency,Отсутствует,Игрок не может управлять временем.
To Pause Time without Gameworld Agency,Присутствует,Игрок может поставить игру на системную паузу.
To Save,Присутствует,"Есть автоматические сохранения, хотя прямой возмодности созраниться нету."
To Rewind Time,Отсутствует,Игрок не может управлять временем.
To Fast Forward Time,Отсутствует,Игрок не может управлять временем.
To Skip Time,Отсутствует,Игрок не может управлять временем.
To Accelerate Time,Отсутствует,Игрок не может управлять временем.
To Decelerate Time,Отсутствует,Игрок не может управлять временем.
To Localize Time,Отсутствует,Игрок не может управлять временем.
To Manipulate Gravity,Отсутствует,"Не смотря на то, что в игре есть возможность влиять на гравитацию эстетически (поднимать и опускать уровень воды, плавать в воде, у который ""перевернута"" гравитация), это скорее является эстетическим элементом, чем геймплейным, как это было в LIMBO, например."
To Customize,Отсутствует,В игре отсутствует персонализация.
In-game Customization,Отсутствует,Нет кастомизации персонажа или интерфейса.
Customization via Game Menu,Отсутствует,Нет настроек кастомизации через меню.
Extra-game Customization,Отсутствует,"За пределами игры (моды, скины) также не предусмотрено."
Goals,Присутствует,В игре присутсвуют цели как структурный элемент
Agent Goals,Присутствует,"У игровых агентов есть цели. Например поймать персонажа, когда они его видят."
Game Goals,Присутствует,Основная цель игры — пройти её до самого правого конца.
Optional Goals,Присутствует,Есть скрытые побочные цели.
Collectables,Присутствует,Скрытые коллекционные сферы.
Side-Quest,Отсутствует,"Нет сайд-квестов, только линейное продвижение."
Required Goals,Присутствует,"Игрок обязан решать головоломки и преодолевать сегменты, чтобы двигаться дальше."
Goal Metrics,Отсутствует,В игре отсутсвуют любые метрики достижения цели.
Performance Record,Отсутствует,Нет системы записи статистики или результатов.
Score,Отсутствует,В игре отсутсвует система очков.
Success Level,Отсутствует,Нет уровней успеха
Time,Отсутствует,Игра никак не замеряет вреся прохождения
,,
,,
,,
Присутствуют,80,
Отсутствуют,97,